Thai,English
แยกทางหลวงหมายเลข 309 (กม.ที่ 78+000) - บ้านท่าข้าม,Highway 309 (km 78+000) - Ban Tha Kham
แยกทางหลวงหมายเลข 103 (กม.ที่ 21+000) - ทางหลวงชนบท พร.3023,Highway 103 (Km 21+000) - Rural Road 3023
แยกทางหลวงหมายเลข 1021 (กม.ที่ 10+665) - บ้านจำไก่,Highway intersection number 1021 (Km. 10+665) - Ban Chamkai
แยกทางหลวงหมายเลข 11 (กม.ที่ 314+123) - บ้านหนองกอก,Highway 11 (km 314+123) - Ban Nong Kok
หนองตาโล่ - สะพานใหม่,Nong Ta Lo - Saphan Mai
แยกทางหลวงหมายเลข 2228 (กม.ที่ 8+800) - บ้านทิพย์โสด,Highway 2228 (km 8+800) - Ban Thip Single
แยกทางหลวงหมายเลข 305 (กม.ที่ 28+950) - เลียบคลอง 12 ฝั่งตะวันตก,"Highway 305 (km 28+950) - Liab Khlong 12, Western side"
แยกทางหลวงหมายเลข 305 (กม.ที่ 31+800) - บ้านหนองแค (ตอนสระบุรี ช่วง กม.ที่ 22+059 - 30+319),"Highway intersection number 305 (km 31+800) - Ban Nong Khae (Saraburi, Km. 22+059 - 30+319)"
นายม -  หนองแวง,Mr. - Nong Waeng
คำใหญ่ - ท่าคันโท,Big words - Kanso
ท่าบ่อ - บ้านว่าน,Tha Bo - Aloe house
ธาตุจอมศรี - ชมเจริญ,That Chomsri - Chomcharoen
ทุ่งโป๊ะ - ไม้เสียบ,Pontoon fields - skewer
แยกทางหลวงหมายเลข 3505 (กม.ที่ 9+100) - เทศบาลอู่ทอง,Highway intersection number 3505 (km 9+100) - U Thong Municipality
แยกทางหลวงหมายเลข 3224 (กม.ที่ 30+800) - บ้านแสลงพัน,Highway intersection number 3224 (km 30+800) - Ban Slang Phan
แยกทางหลวงชนบท สก.3087 (กม.ที่ 5+700) - บ้านนายาว,Junction of Rural Roads. 3087 (Km 5+700) - Ban Nai Na
แยกทางหลวงหมายเลข 117 (กม.ที่ 238+515) - บ้านวังโป่ง,Highway 117 (Km. 238+515) - Ban Wang Pong
แยกทางหลวงหมายเลข 2044 (กม.ที่ 3+400) - บ้านบัวคำ,Highway intersection number 2044 (km 3+400) - Ban Bua Kham
แยกทางหลวงหมายเลข 2042 (กม.ที่ 22+400) - บ้านซ่ง,Highway intersection number 2042 (km 22+400) - Ban Song
ทุ่งกบินทร์ - ไผ่ล้อม,Thung Kabin - Phai Lom
พรานกระต่าย - หนองกุลา,Prang -Nong Kula
ถนนอุทุมพร แยกทางหลวงชนบท ชพ.5056 (กม.ที่ 0+200) - บ้านวังเกลือ,"Uthumphon Road, Rural Road, Chor. 5056 (Km. 0+200) - Ban Wang Kluea"
แยกทางหลวงหมายเลข 2044 (กม.ที่ 26+100) - บ้านโปโล,Highway intersection number 2044 (Km. 26+100) - Ban Polo
แยกไปลพบุรี,Separated to Lop Buri
แยกทางหลวงหมายเลข 1177 (กม.ที่ 13+300) - บ้านห้วยไม้,Highway 1177 (km 13+300) - Ban Huai Mai
เขากง - โคกสุมุ,Kong -Khok Sumu
หนองมัน - หนองกี่,Nong Man - Nong Ki
บุรีรัมย์ - คูเมือง,Buriram - Muang
หนองผักหวาน - ท่าตะโก,Nong Phak Wan - Tha Tako
แยกทางหลวงหมายเลข 3412 (กม.ที่ 16+500) - บ้านสวนถั่ว,Highway intersection number 3412 (km 16+500) - Ban Suan Nung
ศรีสัชนาลัย - แม่สิน,Si Satchanalai - Mae Sin
บัวตารุ่ง - ลำปลายมาศ,Bua Ta Rung - Lam Plai Mat
ท้ายเกาะ - เสนา,The end of the island - Sena
แยกทางหลวงหมายเลข 2346 (กม.ที่ 12+270) - บ้านดอนมะจ่าง,Highway 2346 (Km. 12+270) - Ban Don Machang
แยกทางหลวงหมายเลข 11 (กม.ที่ 316+388) - บ้านบ่อพระ,Highway 11 (km 316+388) - Ban Bo Phra
แยกทางหลวงหมายเลข 309 (กม.ที่ 5+749) - บ้านตลิ่งชัน,Highway intersection number 309 (km 5+749) - Ban Taling Chan
สวัสดิชัย - บ้านบางกะไชย,Sawasdhai - Ban Bang Kachai
คีรีมาศ - อุทยานแห่งชาติรามคำแหง,Khiri Mat - Ramkhamhaeng National Park
คำพอก - หนองญาติ,Kham Pok - Nong Kin
ทุ่งยั้ง - ดงสระแก้ว,Thungyang - Dong Sa Kaeo
แยกทางหลวงหมายเลข 4135 (กม.ที่ 6+800) - บ้านทุ่งเจริญ,Highway 4135 (Km 6+800) - Ban Thung Charoen
แยกทางหลวงหมายเลข 23 (กม.ที่ 222+000) - บ้านเชียงเพ็ง,Highway 23 (Km. 222+000) - Ban Chiang Peng
หนองบัวระเหว - ชัยภูมิ,Nong Bua Rawe -Chaiyaphum
แยกทางหลวงหมายเลข 304 (กม.ที่ 58+500) - บ้านคลองเจ้า,Highway 304 (km 58+500) - Ban Khlong Chao
แยกทางหลวงหมายเลข 3245 (กม.ที่ 19+500) - บ้านศรีเจริญทอง,Highway intersection number 3245 (km 19+500) - Ban Sri Charoen Thong
พวงพยอม - แม่ลอยไร่,Puang Phayom - Mae Loi Rai
แยกทางหลวงหมายเลข 229 (กม.ที่ 1+100) - บ้านหนองสังข์,Highway 229 (Km 1+100) - Ban Nong Sang
แยกทางหลวงหมายเลข 21 (กม.ที่ 127+975) - บ้านซับสมอทอด,Highway 21 (Km. 127+975) - Ban Somphet Fried
อยุธยา - บ้านรุน,Ayutthaya - Ban Run
ทางเข้าเดชอุดม,The entrance to Dej Udom
ทางเข้าเด่นชัย,Denchai entrance
ท้ายบ้าน - บางตำหรุ,The end of the house - Bang Tamru
เทศบาลเมืองท่าข้าม - กิโลศูนย์,Tha Kham Municipality - Kilosa
แยกทางหลวงชนบท ขก.2009 (กม.ที่ 16+100) - บ้านป่าหวายนั่ง,"Junction of Rural Road, Kor Kor. 2009 (Km. 16+100) - Ban Pa Wai, sitting"
กองลอย - แม่แฮใต้,Kong floating - Mae Hae South
แยกทางหลวงหมายเลข 201 (กม.ที่ 42+500) - บ้านสงเปือย,Highway intersection number 201 (km 42+500) - Ban Song Pao
ทางเข้าท่าน้ำลิ้นช้าง,The entrance to the elephant tongue
แยกทางหลวงชนบท ชน.4010 (กม.ที่ 13+500) - แยกทางหลวงชนบท ชน.5016 (กม.ที่ 39+279),Junction of Rural Roads. 4010 (km 13+500) - Rural Road Intersection. 5016 (Km 39+279)
ตะโก - เขาพนมรุ้ง,Tako -Khao Phanom Rung
แยกทางหลวงหมายเลข 228 (กม.ที่ 4+100) - บ้านสร้างเสี่ยน,Junction Highway No. 228 (Km 4+100) - Ban Sang Sian
ปากน้ำ - ศรีนคร,Pak Nam -Srinakorn
แยกทางหลวงหมายเลข 225 (กม.ที่ 23+900) - บ้านวังก้านเหลือง,Highway 225 (Km. 23+900) - Ban Wang Khan Lueng
โคกวัด - บ้านไร่,Khok Wat - Ban Rai
สะเกิน - สบทุ,Sob
บ้านแหลม - ทุ่งขนาน,Ban Laem - Thung Pak
แยกทางหลวงหมายเลข 2160 (กม.ที่ 7+000) - บ้านพลจลก,Highway 2160 (km 7+000) - Ban Phon Chalok
แยกทางหลวงหมายเลข 1242 (กม.ที่ 23+600) - บ้านปางมะค่า,Highway 1242 (Km. 23+600) - Ban Pang Makha
บ้านต้อง - ศรีธาตุ,Baan must - Sri That
เทศบาลตำบลวัดสิงห์ - บ้านน้ำพุ (ช่วงหันคา),Wat Sing Sub -district Municipality
ดุซงญอ - ไอร์ตากอ,Du Song Yo -Ir Tak
ทางเลี่ยงเมืองฉะเชิงเทราด้านเหนือ,The North Chachoengsao City
แยกทางหลวงหมายเลข 1069 (กม.ที่ 3+200) - บ้านดงเย็น,Highway 1069 (Km 3+200) - Ban Dong Yen
แยกทางหลวงหมายเลข 1 (กม.ที่ 689+900) - บ้านอ้วน,Highway 1 (Km 689+900) - Fat House
แยกทางหลวงหมายเลข 311 (กม.ที่ 27+960) - แยกทางหลวงหมายเลข 3030 (กม.ที่ 1+000),Highway intersection number 311 (km 27+960) - Highway intersection number 3030 (km 1+000)
สุโขทัย - เตว็ดใน,Sukhothai -Tawet Nai
หนองอ้อ - สารจิตร,Nong Or - Sarachit
แยกทางหลวงหมายเลข 23 (กม.ที่ 96+080) - บ้านเหล่าใหญ่,Highway 23 (km 96+080) - Ban Lao Yai
เนินกว้าว - บันไดสามขั้น,Hills - three steps
แยกทางหลวงหมายเลข 225 (กม.ที่ 43+200) - บ้านลาดแค,Highway 225 (km 43+200) - Ban Lat Khae
ควนหนองหงส์ - น้ำตก,Kuan Nong Hong - Waterfall
ควนดินสอ - เขาปู่,Kuan Pencil - Khao Pu
สะพานนนทบุรี - บางคูวัด,Nonthaburi Bridge - Bang Khu Wat
แยกทางหลวงหมายเลข 226 (กม.ที่ 162+350) - บ้านกังแอน,Highway 226 (Km 162+350) - Ban Kang Ann
แยกทางหลวงชนบท พง.1004 (กม.ที่ 17+778) - บ้านเจ้าขรัว,"Junction of Rural Road, Phong. 1004 (Km. 17+778) - Ban Chao Khua"
ควนไม้แดง - มะนาวหวาน,Khuan Daeng - Sweet Lemon
แยกทางหลวงหมายเลข 33 (กม.ที่ 126+000) - วัดอินตะขาราม,Highway 33 (km 126+000) - Inthararam Temple
วัดป่าเลไลยก์ - โพธิ์พระยา,Wat Pa Lelai -Pho Phraya
ลำปลายมาศ - หนองม้า,Lam Plai Mat -Nong Ma
แยกทางหลวงหมายเลข 33 (กม.ที่ 163+100) - บ้านต้นกระบก,Highway 33 (km 163+100) - Ban Ton Krabok
แยกทางหลวงหมายเลข 3334 (กม.ที่ 15+700) - วัดตรัยรัตนมงคล,Highway 3334 (km 15+700) - Wat Tri Rattanamongkol
แยกทางหลวงหมายเลข 403 (กม.ที่ 4+040) - ถนนเทวบุรี,Highway 403 (Km 4+040) - Thew Buri Road
แยกทางหลวงหมายเลข 3064 (กม.ที่ 12+100) - บ้านยางห้าร้อย,Highway intersection number 3064 (Km. 12+100) - Ban Yang Five hundred
แยกทางหลวงหมายเลข 222 (กม.ที่ 73+000) -บ้านผาสวรรค์,Highway 222 (km 73+000) -Ban Pha Sawan
ฉะเชิงเทรา - หัวไผ่,Chachoengsao - Hua Phai
เขาบายศรี - พันเสด็จนอก,Khao Baisri -Phannat outside
นาแก - นาเหนือ,Na Kae -Na Nuea
แยกทางหลวงหมายเลข 36 (กม.ที่ 27+250) - บ้านภูไทร,Highway 36 (km 27+250) - Ban Phu Sai
แยกทางหลวงหมายเลข 2312 (กม.ที่ 0+445) - บ้านโนนอุดม,Highway 2312 (Km. 0+445) - Ban Non Udom
แยกทางหลวงหมายเลข 32 (กม.ที่ 62+600) - บ้านหลักฟ้า,Highway intersection number 32 (km 62+600) - Ban Lak Fah
มอเจริญ - หนองแดน,Mo Charoen - Nong Dan
แยกทางหลวงหมายเลข 212 (กม.ที่ 153+990) - บ้านใหม่พัฒนา,Highway 212 (km 153+990) - Ban Mai Phatthana
โคกศรีทอง - ต้นแหน,Khok Sri Thong - Ton Nae
แยกทางหลวงหมายเลข 3004 (กม.ที่ 17+300) - บ้านเขาน้อย,Highway intersection number 3004 (km 17+300) - Ban Khao Noi
แยกทางหลวงหมายเลข 117 (กม.ที่ 11+900) - บ้านหัวถนน,Highway 117 (km 11+900) - Ban Hua Road
แยกทางหลวงหมายเลข 3 (กม.ที่ 240+700) - บ้านทุ่งอ้ายบ้า,Highway 3 (Km. 240+700) - Ban Thung Ai Crazy
ชะอวด - บ้านตูล,Cha -uat - Ban Tul
อุตรดิตถ์ - ห้วยไผ่,Uttaradit - Huai Phai
แยกทางหลวงหมายเลข 2039 (กม.ที่ 5+050) - บ้านกระนวน,Highway intersection number 2039 (km 5+050) - Ban Kranuan
แยกทางหลวงหมายเลข 212 (กม.ที่ 70+450) - บ้านหนองยอง (ตอนหนองคาย),Highway 212 (Km. 70+450) - Ban Nong Young (Nong Khai)
ลำน้ำพาน - หนองผ้าอ้อม,Phan River - Nong Sai Om
ตะพานหิน - คลองคูณ,Taphan Hin - Khlong Koon
พญาเม็งราย - ต้าตลาด,Phaya Mengrai -Ta Market
สามแยกพุแค - สะพานพุแค,Pu Khae Intersection - Phu Kha Bridge
แยกทางหลวงหมายเลข 212 (กม.ที่ 160+694) - บ้านโนนจำปาทอง,Highway 212 (Km. 160+694) - Ban Non Champaong
แยกทางหลวงหมายเลข 1255 (กม.ที่ 6+460) -บ้านคอรุม,Highway intersection number 1255 (Km 6+460) -Ban Khorum
เวียงชัย - บ้านปง,Wiang Chai - Ban Pong
แยกสนามบิน - แยกนาจักร,Airport intersection - Najak intersection
แยกทางหลวงหมายเลข 3051 (กม.ที่ 3+500) - บ้านคลอง 30,Highway intersection number 3051 (km 3+500) - Ban Khlong 30
แยกทางหลวงหมายเลข 2 (กม.ที่ 411+900) - บ้านหนองไห,Highway 2 (km 411+900) - Ban Nong Hai
แยกทางหลวงหมายเลข 2270 (กม.ที่ 7+270) - บ้านสันติสุข,Highway intersection number 2270 (km 7+270) - Ban Santisuk
แยกทางหลวงหมายเลข 375 (กม.ที่ 10+950) - บ้านกระทุ่มแบน,Highway intersection number 375 (km 10+950) - Ban Krathum Baen
ห้วยปริก - บ้านส้อง,Huai Prik - Ban Song
วังขอน - บ่อพลอย,Wang Khon - Bo Phloi
สามแยกกระจับ - หนองโพ,Kak -Nong Pho intersection
แยกทางหลวงหมายเลข 216 (กม.ที่ 124+357) - บ้านหนองสร้างไพร,Highway 216 (Km. 124+357) - Ban Nong Sangprai
หนองปลิง - บ้านสนาม,Nong Plang - Ban Sanam
แยกทางหลวงหมายเลข 3347 (กม.ที่ 19+600) - บ้านบางแตน,Highway 3347 (km 19+600) - Ban Bang Tan
แยกทางหลวงหมายเลข 2116 (กม.ที่ 66+000) - บ้านเดื่อ,Highway 2116 (Km 66+000) - Ban Dua
บางคูวัด - แยกปทุมวิไล,Some temples - Pathum Wilai Intersection
แยกทางหลวงหมายเลข 33 (กม.ที่ 190+650) - บ้านหนองคล้า,Highway 33 (km 190+650) - Ban Nong Khla
แยกทางหลวงหมายเลข 2275 (กม.ที่ 56+800) - บ้านหนองไผ่ใต้,Highway 2275 (km 56+800) - Ban Nong Phai Tai
แยกทางหลวงหมายเลข 3091-บ้านดอนไก่ดี,Highway intersection 3091- Ban Don Kai Dee
อ่างเก็บน้ำห้วยเสนง - บ้านละเอาะ,Huai Senong Reservoir - Ban La -Ao
แยกทางหลวงหมายเลข 2169 (กม.ที่ 38+500) - บ้านคำหัวคู,Highway 2169 (Km 38+500) - Ban Kham Hua Khu
ทางเข้าเทศบาลตำบลเมืองปัก,The entrance to Muang Pak Subdistrict Municipality
สระโบสถ์ - ยางโทน,Church pool - rubber tone
จือมอ - สุคิริน,Chu Mor -Sukirin
แยกทางหลวงหมายเลข 331 (กม.ที่ 23+195) - ตลาดบางบ่อ,Highway 331 (Km. 23+195) - Bang Bo Market
น้อยซุ้มขี้เหล็ก - คลองตาลัด,Little Khel Khem - Lat Canal
ทางเข้าดอยสะเก็ด,The entrance to Doi Saket
แยกทางหลวงหมายเลข 1101(กม.ที่ 6+150) - บ้านเหล่าปางควาย,Highway 1101 (Km 6+150) - Ban Lao Pang Kwai
แยกทางหลวงหมายเลข 322 (กม.ที่ 6+250) - ประตูน้ำสามชุก,Highway intersection number 322 (km 6+250) - Pratunam Sam Chuk
หนองวัวซอ - อูบมุง,Nong Wua Seo -Ubamung
เสลภูมิ - บ้านงิ้ว,Selaphum - Ban Ngio
แยกทางหลวงหมายเลข 334 (กม.ที่ 1+100) - บ้านโรงช้าง,Highway 334 (Km 1+100) - Ban Rong Chang
แยกทางหลวงหมายเลข 36 (กม.ที่ 12+425) - บ้านบึง,Highway 36 (km 12+425) - Ban Bueng
ศรีณรงค์ - สังขะ,Sri Narong -Sangkha
ท่าดอกแก้ว - ปฏิรูป,Dokkaew - Reform
แยกทางหลวงหมายเลข 1026 (กม.ที่ 55+445) - บ้านปากห้วยอ้อย,Highway 1026 (km 55+445) - Ban Pak Huai Oi
ตะกั่วป่า - บางสัก,Takua Pa - Bang Sak
เขื่อนลำพระเพลิง - สี่แยกลำพระเพลิง,Lam Phra Phloeng Dam - Lam Phra Phloeng Intersection
ป่าบง - สันป่าคา,Bong -San Pa Kha
แยกทางหลวงหมายเลข 3263 (กม.ที่ 11+250) - บ้านเกาะ,Highway intersection number 3263 (km 11+250) - Ban Ko
ห้วยส้มป่อย - เจดีย์ยุทธหัตถี,Huai Sompoi - Chedi Yuthahi
แยกทางหลวงหมายเลข 3481 (กม.ที่ 5+700) - บ้านคลองยี่สิบเอ็ด,Highway intersection number 3481 (km 5+700) - Ban Khlong Twenty Et
แยกทางหลวงหมายเลข 2219 (กม.ที่ 60+300) - บ้านสระเพลง,Highway intersection number 2219 (km 60+300) - Ban Saket
นาเชือก - โพธิ์ทอง,Na Rueang -Pho Thong
สุพรรณบุรี - มะขามล้ม,Suphan Buri - Makham falls
แยกสารพัดช่าง - ถนนวงแหวนรอบเมืองสุพรรณบุรี,Separate the mechanic - Ring Road around Suphanburi
บ้านเวียง - ร้องเข็ม,Wiang -Khem House
แยกทางหลวงหมายเลข 4 (กม.ที่ 78+200)-บ้านทับไทร,Highway 4 (Km. 78+200)-Ban Thap Sai
แยกทางหลวงหมายเลข 3229 (กม.ที่ 25+100) - อำเภอด่านมะขามเตี้ย,Highway intersection number 3229 (km 25+100) - Dan Makham Tia District
เลี่ยงเมืองปากเกร็ด,Avoiding Pak Kret
ร่อนพิบูลย์ - ควนเกย,Ron Phibun - Khuan Kae
แยกทางหลวงหมายเลข 3472 (กม.ที่ 12+600) - บ้านเลาขวัญ,Highway 3472 (km 12+600) - Ban Lao Kwan
แยกทางหลวงหมายเลข 2026 (กม.ที่ 19+620 ) -บ้านหนองตีนเผือก,Highway intersection number 2026 (Km. 19+620) -Ban Tha Taro
นครนายก - ปากพลี,Nakhon Nayok - Pak Phli
ปากห้วยอ้อย - วังปึ้ง,Pak Huai Oi - Wang Pung
แยกทางหลวงหมายเลข 2291 (กม.ที่ 30+700) - บ้านโคกกลาง,Highway 2291 (km 30+700) - Ban Khok Klang
ตรางสวาย - ท่าด่าน,Thang Sawai - Tha Dan
แยกทางหลวงหมายเลข 305 (กม.ที่ 36+925 ) - บ้านชุมพล,Highway 305 (Km 36+925) - Ban Chumphon
แยกทางหลวงหมายเลข 21 (กม.ที่ 125+100) - บ้านตาดกลอย,Highway 21 (Km. 125+100) - Ban Tat Kloi
แยกทางหลวงหมายเลข 201 (กม.ที่ 10+745) - บ้านคลองไผ่,Highway intersection number 201 (km 10+745) - Ban Khlong Phai
แยกทางหลวงหมายเลข 4136 (กม.ที่ 7+400) - ภายในศูนย์ราชการ,Highway intersection number 4136 (km 7+400) - within the government center
แยกทางหลวงหมายเลข 215 (กม.ที่ 15+900) - บ้านชะโด,Highway 215 (km 15+900) - Ban Chado
แยกทางหลวงหมายเลข 2175 (กม.ที่ 24+500) - บ้านผักกาดหญ้า,Highway 2175 (Km. 24+500) - Ban Phak Kad Ya
หนองหลวง - เปิ่งเคลิ่ง,Nong Luang - Peng Closed
แยกทางหลวงหมายเลข 3097 (กม.ที่ 33+000) - บ้านเจ็ดริ้ว,Highway intersection number 3097 (km at 33+000) - Ban Chet Sang
แยกทางหลวงหมายเลข 4052 (กมที่.2+700) - บ้านบากันโต๊ะทิด,Highway intersection number 4052 (Km. 2+700) - Baan Ba ​​Kanthid
แยกทางหลวงหมายเลข 3481 (กม.ที่ 26+100) - บ้านหัวไทร,Highway intersection number 3481 (km 26+100) - Ban Hua Sai
แยกทางหลวงชนบท นธ.4014 (กม.ที่ 3+600) - บ้านไอร์สะเตียร์,"Rural Road Intersection, Nor. 4014 (km 3+600) - Ban Ir Satier"
แยกทางหลวงหมายเลข 2200 (กม.ที่ 6+800) - บ้านกำแพง,Highway intersection number 2200 (km 6+800) - Ban Kamphaeng
อำเภอสตึก - บ้านโนนจำปา,Satuk District - Ban Non Champa
สาย จ.3 ผังเมืองรวมเชียงราย,"Line 3, Chiang Rai Mueang Town Planning"
คูพัฒนา - ชัณสูตร,Kuphatthana -Charan Sutra
แยกทางหลวงหมายเลข 23 (กม.ที่ 92+025) - บ้านหัวดง,Highway 23 (km 92+025) - Ban Hua Dong
ป่าไร่ - ช่องตากิ่ว,Forest Rai - Chong Kio
แยกทางหลวงหมายเลข 211 (กม.ที่ 17+150) - บ้านโพธิ์ตาก,Highway 211 (km 17+150) - Ban Pho Tak
แยกทางหลวงหมายเลข 305 (กม.ที่ 23+950) - เลียบคลอง10 ฝั่งตะวันออก,"Intersection Highway 305 (Km 23+950) - Liab Khlong 10, Eastern side"
แยกทางหลวงหมายเลข 2199 (กม.ที่ 25+450) - บ้านหนองแขม,Highway 2199 (km 25+450) - Ban Nong Khaem
ท่าเรือ -  เชิงทะเล,Port - Choeng Thale
แยกทางหลวงหมายเลข 3195 (กม.ที่ 26+900) - บ้านสามเรือน,Highway intersection number 3195 (km 26+900) - Ban Sam Ruen
แยกทางหลวงหมายเลข 41 (กม.ที่ 12+900) - บ้านหนองทองคำ,Highway 41 (Km 12+900) - Ban Nong Thong Kham
แยกทางหลวงหมายเลข 24 (กม.ที่ 35+450) - บ้านนาเยีย,Highway 24 (km 35+450) - Ban Na Yia
วังหิน - หินดาด,Wang Hin -Hin Dad
แยกทางหลวงหมายเลข 3261 (กม.ที่ 8+800) - บ้านคลองห้า,Highway intersection number 3261 (km 8+800) - Ban Khlong Ha
ป่าแดง - ปงสนุก,Red Pa Pa - Pong Sanook
แยกทางหลวงหมายเลข 2418 (กม.ที่ 21+600) - บ้านบุ่งเลิศเหนือ,Highway 2418 (Km. 21+600) - Ban Bunglert Nuea
ท่าม่วง - หนองขาว,Tha Muang - Nong Khao
สันติบันเทิง - บางกระทุ่ม,The entertainment ridge - Bang Krathum
ศรีสงคราม - นาน้อย,Sri Songkhram -Na Noi
แยกทางหลวงหมายเลข 3209 (กม.ที่ 63+500) - บ้านไร่โคก (ตอนราชบุรี),Highway intersection number 3209 (km 63+500) - Ban Rai Khok (Ratchaburi)
แยกทางหลวงหมายเลข 4285 (กม.ที่ 1+492) - บ้านควนแร่ (ผังเมืองรวมสาย ค3),Highway intersection number 4285 (km 1+492) - Ban Khuan Mine
เนินมะกอก - นิคมเขาบ่อแก้ว,Hill Makok - Khao Bo Kaeo Industrial Estate
แยกทางหลวงชนบท อย.3008 (กม.ที่ 9+950) - บ้านตลาด,"Junction of Rural Road, FDA 3008 (Km 9+950) - Ban Talat"
แยกทางหลวงหมายเลข 41 (กม.ที่ 54+950) - บ้านทุ่งชุมพล,Highway 41 (km 54+950) - Ban Thung Chumphon
ซอยสิบ - บ้านกรูด,Soi Sip - Ban Krut
ลำน้ำมูล - พุทไธสง,Mun -Phutthisong River
หนองกี่ - นางรอง,Nong Ki -Nangrong
ทุ่งขนาน - ตาเรือง,Pak -Ta Rueang Thung
ทุ่งสง - ทุ่งใหญ่,Thung Song - Thung Yai
แยกทางหลวงหมายเลข 212 (กม.ที่ 133+100) - บ้านโคกหินกอง,Highway 212 (Km. 133+100) - Ban Khok Hin Kong
แยกทางหลวงหมายเลข 2094 (กม.ที่ 25+456) - บ้านนาน้อย,Highway intersection number 2094 (km 25+456) - Ban Na Noi
แยกทางหลวงหมายเลข 24 (กม.ที่ 291+820) - บ้านโศกขามป้อม,Highway 24 (Km. 291+820) - Ban Asoke Kham Pom
แยกทางหลวงหมายเลข 2243 (กม.ที่ 32+250) - บ้านแก่งผักกูด,Highway intersection number 2243 (Km. 32+250) - Ban Kaeng Phak Kood
แยกทางหลวงหมายเลข 4083 (กม.ที่ 2+000) - บ้านคลองแดน,Highway 4083 (Km 2+000) - Ban Khlong Dan
แยกทางหลวงหมายเลข 2096 (กม.ที่ 91+400) - บ้านดอนหญ้านาง,Highway 2096 (Km 91+400) - Ban Don Ya Nang
แยกทางหลวงหมายเลข 2074 (กม.ที่ 6+200) - บ้านโนนสวรรค์,Highway intersection number 2074 (km 6+200) - Ban Non Sawan
แยกพระพรหม - คลองรั้ง,Phra Phrom -Khlong Rang Intersection
วังตะกอ - หลังสวน,Wang Tako - Lang Suan
แยกอ่างศิลา - เขาสามมุข,Ang Sila Intersection - Khao Sam Muk
แยกทางหลวงหมายเลข 4 (กม.ที่ 184+200) - บ้านบางเกตุ,Highway 4 (Km. 184+200) - Ban Bang Ket
ท่าพะเนียด - ค่ายสุรสีห์,Phanani - Surasi Camp
ดอนไชย - ผาเวียง,Don Chai -Pha Wiang
กิโลศูนย์ - หนองบัว,Kilos - Nong Bua
แยกทางหลวงหมายเลข 3078 (กม.ที่ 10+760) - บ้านท่าเสา,Highway 3078 (Km 10+760) - Ban Tha Sao
แยกทางหลวงหมายเลข 346 (กม.ที่ 47+500) - บ้านศาลายา,Highway 346 (km 47+500) - Ban Salaya
แยกทางหลวงหมายเลข 3365 (กม.ที่ 22+200) - บ้านทึง,Highway intersection number 3365 (km 22+200) - Ban Tho
แยกทางหลวงหมายเลข 305 (กม.ที่ 18+700) - บ้านคลองแปด,Highway 305 (km 18+700) - Ban Khlong Eight
แยกทางหลวงหมายเลข 4142 (กม.ที่ 34+900) - บ้านแพง,Highway intersection number 4142 (km 34+900) - Ban Phaeng
สันทรายน้อย - มหาวิทยาลัยแม่โจ้,Sansai Noi - Mae Jo University
แยกทางหลวงชนบท สค.4002 - บ้านปลายนา,"Junction of Rural Road, Aug. 4002 - Ban Plai Na"
แม่ต๋ำ - แม่ใจ,Mae Tam - Mae Jai
ฉวาง - ห้วยปริก,Chawang - Huai Prik
แยกทางหลวงหมายเลข 4046 (กม.ที่ 10+779) -บ้านหาดปากเมง,Highway 4046 (Km 10+779) -Ban Hat Pak Meng
ลี้ - แม่บอน,Li - Mother Bon
คลองข่อย -บุ่งกระเซอร์,Khlong Khoi -Bung Kraser
แยกทางหลวงหมายเลข 229 (กม.ที่ 16+000) - บ้านสำราญ,Highway 229 (Km 16+000) - Ban Samran
แยกทางหลวงชนบท นม.2039 (กม.ที่ 20+987) - อำเภอจักราช,Junction of Rural Roads. 2039 (Km. 20+987) - Chakkarat District
ไร่ขิง - ทรงคนอง,Ginger Farm - Song Khon
แยกทางหลวงหมายเลข 333 (กม.ที่ 81+900) - อำเภอด่านช้าง,Highway 333 (km 81+900) - Dan Chang District
แม่สะนาน - ผักเฮือก,Mae Sapan - Pak Sao
แยกทางหลวงหมายเลข 3211 (กม.ที่ 7+840) - แยกทางหลวงชนบท ชน.5016 (กม.ที่ 47+650),Highway intersection number 3211 (km 7+840) - Rural Road Intersection. 5016 (Km. 47+650)
ทุ่งชุมพล - ลานข่อย,Thung Chumphon - Lan Khoi
แยกทางหลวงหมายเลข 1 (กม.ที่ 184+000) - บ้านเพนียด,Highway 1 (Km. 184+000) - Ban Pheng
แยกทางหลวงหมายเลข 206 (กม.ที่ 15+950) - บ้านไทรงาม,Highway 206 (km 15+950) - Ban Sai Ngam
บ้านด่านลานหอย - ทุ่งเสลี่ยม,Ban Dan Lan Hoi - Thung Saliam
โคกสัก - หาดไข่เต่า,Khok Tak - Egg Tao Beach
แยกทางหลวงหมายเลข 224 (กม.ที่ 147+835) - บ้านหงอนไก่,Highway 224 (km 147+835) - Ban Hong Kai
แยกทางหลวงหมายเลข 3251 (กม.ที่ 22+900) - บ้านกุ่มโคก,Highway intersection number 3251 (km 22+900) - Ban Kum Khok
นาเพียง - ศรีสงคราม,Na Chang -Si Songkhram
ดอนดึง - โคกเจริญ,Don Dung -Khokcharoen
แยกทางหลวงชนบท นบ.5027 (กม.ที่ 11+200) - บ้านหนองเพรางาย,"Junction of Rural Road, Nor. 5027 (Km. 11+200) - Ban Nong Phe Ngai"
